"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"India","2011","Total","Both Sexes","Eluru","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","218020",""
"India","2011","Total","Both Sexes","English Bazar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","205521",""
"India","2011","Total","Both Sexes","Erode","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","157101",""
"India","2011","Total","Both Sexes","Etah","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","118517",""
"India","2011","Total","Both Sexes","Etawah","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","256838",""
"India","2011","Total","Both Sexes","Faizabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","165228",""
"India","2011","Total","Both Sexes","Faridabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1414050",""
"India","2011","Total","Both Sexes","Farrukhabad-cum-Fatehgarh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","276581",""
"India","2011","Total","Both Sexes","Fatehpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","193193",""
"India","2011","Total","Both Sexes","Firozabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","604214",""
"India","2011","Total","Both Sexes","Gadag-Betigeri","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","172612",""
"India","2011","Total","Both Sexes","Gandhidham","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","247992",""
"India","2011","Total","Both Sexes","Gandhinagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","292797",""
"India","2011","Total","Both Sexes","Ganganagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","237780",""
"India","2011","Total","Both Sexes","Gangawati","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","114642",""
"India","2011","Total","Both Sexes","Gaya","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","474093",""
"India","2011","Total","Both Sexes","Ghaziabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1648643",""
"India","2011","Total","Both Sexes","Ghazipur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","121020",""
"India","2011","Total","Both Sexes","Giridih","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","114533",""
"India","2011","Total","Both Sexes","Godhra","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","143644",""
"India","2011","Total","Both Sexes","Gonda","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","114046",""
"India","2011","Total","Both Sexes","Gondiya","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","132813",""
"India","2011","Total","Both Sexes","Gorakhpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","673446",""
"India","2011","Total","Both Sexes","Gudivada","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","118167",""
"India","2011","Total","Both Sexes","Gulbarga","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","543147",""
"India","2011","Total","Both Sexes","Guna","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","180935",""
"India","2011","Total","Both Sexes","Guntakal","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","126270",""
"India","2011","Total","Both Sexes","Guntur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","670073",""
"India","2011","Total","Both Sexes","Gurgaon","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","886519",""
"India","2011","Total","Both Sexes","Guwahati","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","962334",""
"India","2011","Total","Both Sexes","Gwalior","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1054420",""
"India","2011","Total","Both Sexes","Habra","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","147221",""
"India","2011","Total","Both Sexes","Hajipur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","147688",""
"India","2011","Total","Both Sexes","Haldia","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","200827",""
"India","2011","Total","Both Sexes","Haldwani-cum-Kathgodam","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","201461",""
"India","2011","Total","Both Sexes","Halisahar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","124939",""
"India","2011","Total","Both Sexes","Hanumangarh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","150958",""
"India","2011","Total","Both Sexes","Haora","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1077075",""
"India","2011","Total","Both Sexes","Hapur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","262983",""
"India","2011","Total","Both Sexes","Hardoi","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","197029",""
"India","2011","Total","Both Sexes","Hardwar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","231338",""
"India","2011","Total","Both Sexes","Hassan","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","155006",""
"India","2011","Total","Both Sexes","Hathras","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","143020",""
"India","2011","Total","Both Sexes","Hazaribag","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","142489",""
"India","2011","Total","Both Sexes","Hindupur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","151677",""
"India","2011","Total","Both Sexes","Hisar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","307024",""
"India","2011","Total","Both Sexes","Hoshiarpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","168653",""
"India","2011","Total","Both Sexes","Hospet","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","206167",""
"India","2011","Total","Both Sexes","Hubli-Dharwad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","943788",""
"India","2011","Total","Both Sexes","Hugli-Chinsurah","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","179931",""
"India","2011","Total","Both Sexes","Ichalkaranji","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","287353",""
"India","2011","Total","Both Sexes","Imphal","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","277196",""
"India","2011","Total","Both Sexes","Indore","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1994397",""
"India","2011","Total","Both Sexes","Jabalpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1081677",""
"India","2011","Total","Both Sexes","Jagadhri","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","124894",""
"India","2011","Total","Both Sexes","Jagdalpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","125463",""
"India","2011","Total","Both Sexes","Jaipur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","3046163",""
"India","2011","Total","Both Sexes","Jalandhar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","868929",""
"India","2011","Total","Both Sexes","Jalgaon","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","460228",""
"India","2011","Total","Both Sexes","Jalna","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","285577",""
"India","2011","Total","Both Sexes","Jalpaiguri","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","107341",""
"India","2011","Total","Both Sexes","Jammu","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","576198",""
"India","2011","Total","Both Sexes","Jamnagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","600943",""
"India","2011","Total","Both Sexes","Jamshedpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","677350",""
"India","2011","Total","Both Sexes","Jamuria","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","149220",""
"India","2011","Total","Both Sexes","Jaunpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","180362",""
"India","2011","Total","Both Sexes","Jetpur Navagadh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","118302",""
"India","2011","Total","Both Sexes","Jhansi","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","505693",""
"India","2011","Total","Both Sexes","Jhunjhunun","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","118473",""
"India","2011","Total","Both Sexes","Jind","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","167592",""
"India","2011","Total","Both Sexes","Jodhpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1056191",""
"India","2011","Total","Both Sexes","Jorhat","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","126736",""
"India","2011","Total","Both Sexes","Junagadh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","319462",""
"India","2011","Total","Both Sexes","Kaithal","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","144915",""
"India","2011","Total","Both Sexes","Kakinada","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","384182",""
"India","2011","Total","Both Sexes","Kalol","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","134426",""
"India","2011","Total","Both Sexes","Kalyan Dombivali","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","1247327",""
"India","2011","Total","Both Sexes","Kamarhati","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","330211",""
"India","2011","Total","Both Sexes","Kancheepuram","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","164384",""
"India","2011","Total","Both Sexes","Kanchrapara","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","129576",""
"India","2011","Total","Both Sexes","Kanhangad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","125564",""
"India","2011","Total","Both Sexes","Kanpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","2768057",""
"India","2011","Total","Both Sexes","Karaikkudi","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","106714",""
"India","2011","Total","Both Sexes","Karawal Nagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","224281",""
"India","2011","Total","Both Sexes","Karimnagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","289821",""
"India","2011","Total","Both Sexes","Karnal","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","302140",""
"India","2011","Total","Both Sexes","Katihar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","240838",""
"India","2011","Total","Both Sexes","Khammam","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","196283",""
"India","2011","Total","Both Sexes","Khandwa","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","200738",""
"India","2011","Total","Both Sexes","Khanna","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","128137",""
"India","2011","Total","Both Sexes","Kharagpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","207604",""
"India","2011","Total","Both Sexes","Khardaha","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","108496",""
"India","2011","Total","Both Sexes","Khargone","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","116150",""
"India","2011","Total","Both Sexes","Kirari Suleman Nagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","283211",""
"India","2011","Total","Both Sexes","Kishangarh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","154886",""
"India","2011","Total","Both Sexes","Kochi","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","633553",""
"India","2011","Total","Both Sexes","Kolar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2017","138462",""
